# STATION_ID,ANTENNA_ID,X,Y,Z
0,0,5109272.199,2006783.546,-3239145.330
1,1,5109294.929,2006755.510,-3239126.266
2,2,5109291.902,2006692.968,-3239169.946
3,3,5109269.975,2006707.493,-3239196.073
4,4,5109233.718,2006783.345,-3239206.815
5,5,5109209.263,2006697.072,-3239299.367
6,6,5109148.356,2006668.922,-3239413.452
7,7,5109180.035,2006816.610,-3239272.322
8,8,5109093.557,2006842.527,-3239393.924
9,9,5109170.181,2006868.236,-3239256.012
10,10,5109142.247,2006917.437,-3239270.083
11,11,5109095.433,2007003.019,-3239292.087
12,12,5109130.110,2007063.781,-3239199.224
13,13,5109186.747,2007010.793,-3239141.508
14,14,5109174.268,2007089.172,-3239112.935
15,15,5109240.954,2007020.245,-3239049.219
16,16,5109212.231,2006908.083,-3239164.381
17,17,5109170.172,2006961.461,-3239198.492
18,18,5109190.134,2006890.045,-3239210.786
19,19,5109319.275,2006518.561,-3239233.620
20,20,5109501.278,2006507.282,-3238950.545
21,21,5109415.838,2006528.189,-3239073.856
22,22,5109563.694,2006555.387,-3238821.563
23,23,5109537.966,2006726.924,-3238756.741
24,24,5109409.881,2006765.759,-3238936.951
25,25,5109340.507,2006888.362,-3238971.928
26,26,5109343.517,2006791.074,-3239026.972
27,27,5109339.748,2006749.216,-3239058.765
28,28,5109357.505,2007035.573,-3238853.876
29,29,5109320.535,2007101.937,-3238871.335
30,30,5109280.819,2007317.013,-3238800.999
31,31,5109141.205,2007181.467,-3239108.906
32,32,5109088.629,2007163.077,-3239203.630
33,33,5109021.194,2006948.630,-3239443.497
34,34,5108995.841,2006982.119,-3239463.581
35,35,5109040.864,2006698.328,-3239566.503
36,36,5109158.686,2006464.531,-3239522.088
37,37,5109280.357,2006432.637,-3239348.227
38,38,5109533.613,2006244.029,-3239061.145
39,39,5109972.699,2006130.376,-3238431.522
40,40,5110157.095,2005196.443,-3238718.843
41,41,5110723.701,2005811.697,-3237438.291
42,42,5109331.746,2006220.131,-3239396.764
43,43,5111655.261,2004739.750,-3236633.105
44,44,5110888.067,2003578.587,-3238574.255
45,45,5109713.653,2004786.469,-3239676.240
46,46,5109311.351,2005919.935,-3239613.475
47,47,5109039.423,2006089.308,-3239941.073
48,48,5108748.656,2006622.471,-3240077.321
49,49,5108814.452,2007575.084,-3239384.668
50,50,5108974.663,2007992.340,-3238870.287
51,51,5109003.200,2008429.669,-3238550.478
52,52,5109608.666,2009964.640,-3236636.209
53,53,5108382.618,2010429.232,-3238301.702
54,54,5107254.013,2009699.357,-3240542.587
55,55,5108278.559,2006410.137,-3240956.885
56,56,5108713.982,2005051.017,-3241111.829
57,57,5109748.526,2003331.232,-3240538.854
