#X,Y,Z,STATION_ID,ANTENNA_ID
5109271.497354,2006808.893028,-3239130.736141,000,000
5109284.854078,2006824.221724,-3239100.126460,001,001
5109272.199343,2006783.546050,-3239145.330042,002,002
5109294.928585,2006755.509854,-3239126.266250,003,003
5109291.902149,2006692.968027,-3239169.946413,004,004
5109269.975114,2006707.493216,-3239196.073499,005,005
5109233.717826,2006783.345193,-3239206.815200,006,006
5109209.263489,2006697.072283,-3239299.366683,007,007
5109148.356361,2006668.921549,-3239413.452183,008,008
5109180.035241,2006816.610113,-3239272.322421,009,009
5109093.556556,2006842.526947,-3239393.923881,010,010
5109170.180559,2006868.236095,-3239256.012063,011,011
5109142.247324,2006917.437396,-3239270.082552,012,012
5109095.433207,2007003.019458,-3239292.087312,013,013
5109130.110480,2007063.780755,-3239199.224411,014,014
5109186.746785,2007010.792885,-3239141.508486,015,015
5109174.267883,2007089.171932,-3239112.934879,016,016
5109240.953886,2007020.244747,-3239049.219156,017,017
5109212.230825,2006908.082578,-3239164.381246,018,018
5109170.171973,2006961.461379,-3239198.492114,019,019
5109190.134224,2006890.045163,-3239210.786387,020,020
5109319.275022,2006518.560600,-3239233.619577,021,021
5109501.278031,2006507.282330,-3238950.544767,022,022
5109415.838166,2006528.189133,-3239073.856467,023,023
5109563.694316,2006555.387094,-3238821.563143,024,024
5109537.966349,2006726.923649,-3238756.740691,025,025
5109409.880855,2006765.759243,-3238936.951414,026,026
5109340.506869,2006888.361854,-3238971.927501,027,027
5109343.517322,2006791.074317,-3239026.971730,028,028
5109339.748209,2006749.216289,-3239058.764578,029,029
5109357.505327,2007035.572845,-3238853.876338,030,030
5109320.535119,2007101.936893,-3238871.334636,031,031
5109280.818665,2007317.013407,-3238800.998790,032,032
5109561.411240,2007555.508268,-3238207.174221,033,033
5109223.044799,2007183.162154,-3238977.047467,034,034
5109141.205385,2007181.466621,-3239108.906281,035,035
5109088.628952,2007163.076686,-3239203.630401,036,036
5109012.510055,2007124.614912,-3239349.235774,037,037
5109021.194393,2006948.629942,-3239443.497067,038,038
5108995.841451,2006982.118902,-3239463.581377,039,039
5109040.863907,2006698.328029,-3239566.503392,040,040
5109158.685729,2006464.531149,-3239522.088403,041,041
5109280.357027,2006432.636575,-3239348.227095,042,042
5109533.612995,2006244.029246,-3239061.144609,043,043
5109972.699387,2006130.375738,-3238431.521767,044,044
5110157.095305,2005196.443001,-3238718.843069,045,045
5110723.700942,2005811.697105,-3237438.290580,046,046
5109331.745957,2006220.131398,-3239396.763873,047,047
5111655.260922,2004739.749549,-3236633.105248,048,048
5110888.066564,2003578.587320,-3238574.254512,049,049
5109713.653487,2004786.468615,-3239676.240087,050,050
5109311.351490,2005919.935113,-3239613.475041,051,051
5109039.422732,2006089.308403,-3239941.073314,052,052
5108748.655700,2006622.471048,-3240077.320541,053,053
5108814.452029,2007575.084167,-3239384.667574,054,054
5108974.663302,2007992.339876,-3238870.286700,055,055
5109003.200202,2008429.669354,-3238550.478204,056,056
5110793.520952,2007732.149396,-3236139.971630,057,057
5109608.665909,2009964.639702,-3236636.209420,058,058
5108382.618088,2010429.232487,-3238301.702006,059,059
5107254.013472,2009699.357218,-3240542.587341,060,060
5108278.559162,2006410.136906,-3240956.885314,061,061
5108713.982410,2005051.016549,-3241111.829132,062,062
5109748.526321,2003331.232039,-3240538.853736,063,063
